state_type,n,k,ensemble,pauli_index,pauli_label,true_value,empirical_mean,abs_bias,empirical_var,theory_var_bound,sample_complexity_eps,num_shots
ghz,3,3,clifford,1,ZZZ,0.0,0.08999999999999993,0.08999999999999993,10.015284280936443,24.0,1001.5284280936442,300
ghz,3,3,clifford,2,ZYY,0.0,-0.11999999999999979,0.11999999999999979,9.196254180602002,24.0,919.6254180602001,300
ghz,3,3,clifford,3,ZYX,0.0,0.06,0.06,9.74889632107022,24.0,974.8896321070217,300
ghz,3,3,clifford,4,XXX,0.9999999999999998,0.8699999999999994,0.13000000000000034,7.09675585284283,24.0,709.6755852842829,300
ghz,3,3,clifford,5,YZX,0.0,-0.29999999999999954,0.29999999999999954,8.578595317725725,24.0,857.8595317725723,300
ghz,3,3,seeqst,0,XYX,0.0,0.0,0.0,18.836120401337794,,1883.6120401337791,300
ghz,3,3,seeqst,1,ZZZ,0.0,-0.02666666666666667,0.02666666666666667,2.166510590858413,,216.65105908584127,300
ghz,3,3,seeqst,2,ZYY,0.0,0.10666666666666667,0.10666666666666667,18.824704570791585,,1882.4704570791582,300
ghz,3,3,seeqst,3,ZYX,0.0,0.4266666666666667,0.4266666666666667,23.790590858417044,,2379.059085841704,300
ghz,3,3,seeqst,4,XXX,0.9999999999999998,0.8,0.19999999999999973,12.200668896321076,,1220.0668896321074,300
ghz,3,3,seeqst,5,YZX,0.0,0.32,0.32,10.17150501672244,,1017.1505016722438,300
ghz,4,1,pauli,0,IIIX,0.0,-0.08999999999999998,0.08999999999999998,3.0320066889632136,3.0,303.2006688963213,300
ghz,4,1,pauli,1,YIII,0.0,-0.10999999999999997,0.10999999999999997,2.907591973244151,3.0,290.759197324415,300
ghz,4,1,pauli,2,IIIZ,0.0,-0.020000000000000042,0.020000000000000042,3.069832775919742,3.0,306.9832775919742,300
ghz,4,1,pauli,3,XIII,0.0,0.13999999999999996,0.13999999999999996,3.170969899665541,3.0,317.0969899665541,300
ghz,4,1,pauli,4,IIIX,0.0,-0.08999999999999998,0.08999999999999998,3.0320066889632136,3.0,303.2006688963213,300
ghz,4,1,pauli,5,IIIX,0.0,-0.08999999999999998,0.08999999999999998,3.0320066889632136,3.0,303.2006688963213,300
ghz,4,1,clifford,0,IIIX,0.0,-0.11333333333333315,0.11333333333333315,25.11754738015604,48.0,2511.7547380156034,300
ghz,4,1,clifford,1,YIII,0.0,0.3399999999999997,0.3399999999999997,15.348896321070255,48.0,1534.8896321070251,300
ghz,4,1,clifford,2,IIIZ,0.0,0.11333333333333312,0.11333333333333312,13.518885172798203,48.0,1351.88851727982,300
ghz,4,1,clifford,3,XIII,0.0,0.16999999999999985,0.16999999999999985,20.268662207357803,48.0,2026.86622073578,300
